Composition (atomic)                                                                                                    , Folder number, Type of phases                                                                                                              , ρ represents the density (in g/cm^3), HV is the hardness in Vickers, Type of tests, σY is the Yield strength (MPa), σmax is the ultimate strength (MPa), ε is the elongation (in percentage), E is the Young's modulus (GPa)
MoNbTaVW                                                                                                                ,            68, single-phase bcc                                                                                                            ,                                12.36,                              ,              ,                               ,                                    ,                                    ,                           
MoNbTaW                                                                                                                 ,            68, single-phase bcc                                                                                                            ,                                13.75,                              ,              ,                               ,                                    ,                                    ,                           
HfMoTaTiZr                                                                                                              ,            68, single-phase bcc                                                                                                            ,                                 9.94,                              ,              ,                               ,                                    ,                                    ,                           
HfMoTaTiZr                                                                                                              ,            68, single-phase bcc                                                                                                            ,                                10.24,                              ,              ,                               ,                                    ,                                    ,                           
HfMoNbTaTiZr                                                                                                            ,            68, single-phase bcc                                                                                                            ,                                 9.97,                              ,              ,                               ,                                    ,                                    ,                           
Ta0.1968Nb0.1893Hf0.2046Zr0.2123Ti0.1970                                                                                ,            69, Single-phase BCC                                                                                                            ,                                 9.94,                              , C            , 929                           ,                                    ,                                    ,                           
Ta0.1968Nb0.1893Hf0.2046Zr0.2123Ti0.1970                                                                                ,            69, Single-phase BCC                                                                                                            ,                                 9.94,                              , C            , 790                           ,                                    ,                                    ,                           
Ta0.1968Nb0.1893Hf0.2046Zr0.2123Ti0.1970                                                                                ,            69, Single-phase BCC                                                                                                            ,                                 9.94,                              , C            , 675                           ,                                    ,                                    ,                           
Ta0.1968Nb0.1893Hf0.2046Zr0.2123Ti0.1970                                                                                ,            69, Single-phase BCC                                                                                                            ,                                 9.94,                              , C            , 535                           ,                                    ,                                    ,                           
Ta0.1968Nb0.1893Hf0.2046Zr0.2123Ti0.1970                                                                                ,            69, Single-phase BCC                                                                                                            ,                                 9.94,                              , C            , 295                           ,                                    ,                                    ,                           
Ta0.1968Nb0.1893Hf0.2046Zr0.2123Ti0.1970                                                                                ,            69, Single-phase BCC                                                                                                            ,                                 9.94,                              , C            , 92                            ,                                    ,                                    ,                           
Ta0.1968Nb0.1893Hf0.2046Zr0.2123Ti0.1970                                                                                ,            69, Single-phase BCC                                                                                                            ,                                 9.94,                              , C            , 285                           , 175                                , 10                                 ,                           
Ta0.1968Nb0.1893Hf0.2046Zr0.2123Ti0.1970                                                                                ,            69, Single-phase BCC                                                                                                            ,                                 9.94,                              , C            , 475                           , 368                                , 10                                 ,                           
Ta0.1968Nb0.1893Hf0.2046Zr0.2123Ti0.1970                                                                                ,            69, Single-phase BCC                                                                                                            ,                                 9.94,                              , C            , 535                           , 692                                , 10                                 ,                           
Ta0.1968Nb0.1893Hf0.2046Zr0.2123Ti0.1970                                                                                ,            69, Single-phase BCC                                                                                                            ,                                 9.94,                              , C            , 543                           , 746                                , 10                                 ,                           
Ta0.1968Nb0.1893Hf0.2046Zr0.2123Ti0.1970                                                                                ,            69, Single-phase BCC                                                                                                            ,                                 9.94,                              , C            , 550                           , 777                                , 10                                 ,                           
Ta0.2Nb0.2Hf0.2Zr0.2Ti0.2                                                                                               ,            70, Predominantly single-phase BCC (minor likely hexagonal phase)                                                               ,                                 9.94,                              ,              ,                               ,                                    ,                                    ,                           
Ta0.2Nb0.2Hf0.2Zr0.2Ti0.2                                                                                               ,            70, Predominantly single-phase BCC (minor likely hexagonal phase)                                                               ,                                     ,                       3826   ,              ,                               ,                                    ,                                    ,                           
Ta0.2Nb0.2Hf0.2Zr0.2Ti0.2                                                                                               ,            70, Predominantly single-phase BCC (minor likely hexagonal phase)                                                               ,                                     ,                              , C            , 929                           ,                                    , 50                                 ,                           
Ta0.2Nb0.2W0.2Mo0.2V0.2                                                                                                 ,            70, Single-phase BCC                                                                                                            ,                                     ,                       5300   ,              ,                               ,                                    ,                                    ,                           
Ta0.2Nb0.2W0.2Mo0.2V0.2                                                                                                 ,            70, Single-phase BCC                                                                                                            ,                                     ,                              , C            , 1246                          ,                                    ,                                    ,                           
Ta0.25Nb0.25W0.25Mo0.25                                                                                                 ,            70, Single-phase BCC                                                                                                            ,                                     ,                       4500   ,              ,                               ,                                    ,                                    ,                           
Ta0.25Nb0.25W0.25Mo0.25                                                                                                 ,            70, Single-phase BCC                                                                                                            ,                                     ,                              , C            , 1058                          ,                                    ,                                    ,                           
MoNbTaV                                                                                                                 ,            72, BCC                                                                                                                         ,                                     ,                       4947   ,              ,                               ,                                    ,                                    ,                           
MoNbTaV                                                                                                                 ,            72, BCC                                                                                                                         ,                                     ,                              , C            , 1525                          ,                                    ,                                    ,                           
MoNbTaV                                                                                                                 ,            72, BCC                                                                                                                         ,                                     ,                              , C            , 1500                          , 2400                               , 21                                 ,                           
Nb0.25Mo0.25Ta0.25W0.25                                                                                                 ,            73, single-phase BCC (disordered)                                                                                               ,                                     ,                          4.46, C            , 1058                          , 1211                               , 1.5                                ,                        220
Nb0.25Mo0.25Ta0.25W0.25                                                                                                 ,            73, single-phase BCC (disordered)                                                                                               ,                                     ,                          4.46, C            , 561                           ,                                    ,                                    ,                           
Nb0.25Mo0.25Ta0.25W0.25                                                                                                 ,            73, single-phase BCC (disordered)                                                                                               ,                                     ,                          4.46, C            , 552                           ,                                    ,                                    ,                           
Nb0.25Mo0.25Ta0.25W0.25                                                                                                 ,            73, single-phase BCC (disordered)                                                                                               ,                                     ,                          4.46, C            , 548                           , 1008                               , 16                                 ,                           
Nb0.25Mo0.25Ta0.25W0.25                                                                                                 ,            73, single-phase BCC (disordered)                                                                                               ,                                     ,                          4.46, C            , 506                           , 803                                , 12                                 ,                           
Nb0.25Mo0.25Ta0.25W0.25                                                                                                 ,            73, single-phase BCC (disordered)                                                                                               ,                                     ,                          4.46, C            , 421                           , 467                                , 9                                  ,                           
Nb0.25Mo0.25Ta0.25W0.25                                                                                                 ,            73, single-phase BCC (disordered)                                                                                               ,                                     ,                          4.46, C            , 405                           , 600                                , 27                                 ,                           
V0.20Nb0.20Mo0.20Ta0.20W0.20                                                                                            ,            73, single-phase BCC (disordered)                                                                                               ,                                     ,                          5.42, C            , 1246                          , 1270                               , 0.5                                ,                        180
V0.20Nb0.20Mo0.20Ta0.20W0.20                                                                                            ,            73, single-phase BCC (disordered)                                                                                               ,                                     ,                          5.42, C            , 862                           , 1597                               , 13                                 ,                           
V0.20Nb0.20Mo0.20Ta0.20W0.20                                                                                            ,            73, single-phase BCC (disordered)                                                                                               ,                                     ,                          5.42, C            , 846                           , 1536                               , 16                                 ,                           
V0.20Nb0.20Mo0.20Ta0.20W0.20                                                                                            ,            73, single-phase BCC (disordered)                                                                                               ,                                     ,                          5.42, C            , 842                           , 1454                               , 14                                 ,                           
V0.20Nb0.20Mo0.20Ta0.20W0.20                                                                                            ,            73, single-phase BCC (disordered)                                                                                               ,                                     ,                          5.42, C            , 735                           , 943                                , 4.2                                ,                           
V0.20Nb0.20Mo0.20Ta0.20W0.20                                                                                            ,            73, single-phase BCC (disordered)                                                                                               ,                                     ,                          5.42, C            , 656                           , 707                                , 1.6                                ,                           
V0.20Nb0.20Mo0.20Ta0.20W0.20                                                                                            ,            73, single-phase BCC (disordered)                                                                                               ,                                     ,                          5.42, C            , 477                           , 479                                , 0.95                               ,                           
TiZrNbV                                                                                                                 ,            74, single bcc SSP                                                                                                              ,                                 6.46,                              , C            , 1104                          ,                                    , 50                                 ,                           
TiZrNbVMo0.3                                                                                                            ,            74, single bcc SSP                                                                                                              ,                                 6.69,                              , C            , 1289                          ,                                    , 42                                 ,                           
TiZrNbVMo0.5                                                                                                            ,            74, single bcc SSP                                                                                                              ,                                 6.83,                              , C            , 1473                          ,                                    , 32                                 ,                           
TiZrNbVMo0.7                                                                                                            ,            74, single bcc SSP                                                                                                              ,                                 6.96,                              , C            , 1706                          ,                                    , 32                                 ,                           
TiZrNbVMo1.0                                                                                                            ,            74, single bcc SSP                                                                                                              ,                                 7.13,                              , C            , 1779                          ,                                    , 32                                 ,                           
TiZrNbVMo1.3                                                                                                            ,            74, single bcc SSP                                                                                                              ,                                 7.29,                              , C            , 1496                          ,                                    , 30                                 ,                           
TiZrNbVMo1.5                                                                                                            ,            74, bcc1 + bcc2                                                                                                                 ,                                 7.38,                              , C            , 1603                          ,                                    , 20                                 ,                           
TiZrNbVMo1.7                                                                                                            ,            74, bcc1 + bcc2                                                                                                                 ,                                 7.48,                              , C            , 1645                          ,                                    , 15                                 ,                           
TiZrNbVMo2.0                                                                                                            ,            74, bcc1 + bcc2                                                                                                                 ,                                 7.6 ,                              , C            , 1765                          ,                                    , 12                                 ,                           
TiZrNbV0.3                                                                                                              ,            74, single bcc SSP                                                                                                              ,                                 6.51,                              , C            , 866                           ,                                    , 45                                 ,                           
TiZrNbV0.3Mo0.1                                                                                                         ,            74, single bcc SSP                                                                                                              ,                                 6.6 ,                              , C            , 932                           ,                                    , 45                                 ,                           
TiZrNbV0.3Mo0.3                                                                                                         ,            74, single bcc SSP                                                                                                              ,                                 6.77,                              , C            , 1312                          ,                                    , 50                                 ,                           
TiZrNbV0.3Mo0.5                                                                                                         ,            74, single bcc SSP                                                                                                              ,                                 6.93,                              , C            , 1301                          ,                                    , 43                                 ,                           
TiZrNbV0.3Mo0.7                                                                                                         ,            74, single bcc SSP                                                                                                              ,                                 7.07,                              , C            , 1436                          ,                                    , 26.6                               ,                           
TiZrNbV0.3Mo1.0                                                                                                         ,            74, single bcc SSP                                                                                                              ,                                 7.26,                              , C            , 1455                          ,                                    , 25                                 ,                           
TiZrNbV0.3Mo1.3                                                                                                         ,            74, single bcc SSP                                                                                                              ,                                 7.43,                              , C            , 1603                          ,                                    , 20                                 ,                           
TiZrNbV0.3Mo1.5                                                                                                         ,            74, single bcc SSP                                                                                                              ,                                 7.53,                              , C            , 1576                          ,                                    , 8                                  ,                           
AlCoCrFeNiTi0.5                                                                                                         ,            74,                                                                                                                             ,                                 6.44,                              , C            , 2260                          ,                                    , 23.3                               ,                           
AlCrFeCoNi                                                                                                              ,            74,                                                                                                                             ,                                 6.72,                              , C            , 1251                          ,                                    , 32.7                               ,                           
CrFeCoNiCuTi0.8                                                                                                         ,            74,                                                                                                                             ,                                 7.58,                              , C            , 1042                          ,                                    , 2.1                                ,                           
CrFeCoNiCuTi0.5                                                                                                         ,            74,                                                                                                                             ,                                 7.82,                              , C            , 700                           ,                                    , 21.6                               ,                           
CrFeCoNiCu                                                                                                              ,            74,                                                                                                                             ,                                 8.33,                              , C            , 230                           ,                                    , 50                                 ,                           
AlCrFeCoNiCu                                                                                                            ,            74,                                                                                                                             ,                                 7.07,                              , C            , 1303                          ,                                    , 18                                 ,                           
AlCrFeCoNiCuV                                                                                                           ,            74,                                                                                                                             ,                                 6.92,                              , C            , 1469                          ,                                    , 6                                  ,                           
Cu0.25AlCoCrFeNiTi0.5                                                                                                   ,            74,                                                                                                                             ,                                 6.54,                              , C            , 1994                          ,                                    , 9.1                                ,                           
AlCoCrFeNiMo0.1                                                                                                         ,            74,                                                                                                                             ,                                 6.45,                              , C            , 1804                          ,                                    , 7.5                                ,                           
AlCoCrFeNiSi0.2                                                                                                         ,            74,                                                                                                                             ,                                 6.92,                              , C            , 1265                          ,                                    , 13.8                               ,                           
AlCoCrFeNiSi0.4                                                                                                         ,            74,                                                                                                                             ,                                 6.22,                              , C            , 1481                          ,                                    , 13.4                               ,                           
TaNbHfZrTi                                                                                                              ,            74,                                                                                                                             ,                                 9.9 ,                              , C            , 929                           ,                                    , 50                                 ,                           
NbMoTaW                                                                                                                 ,            74,                                                                                                                             ,                                13.64,                              , C            , 1058                          ,                                    , 2.6                                ,                           
VNbMoTaW                                                                                                                ,            74,                                                                                                                             ,                                12.36,                              , C            , 1246                          ,                                    , 1.7                                ,                           
NbCrMo0.5Ta0.5TiZr                                                                                                      ,            74,                                                                                                                             ,                                 8.0 ,                              , C            , 1595                          ,                                    , 5                                  ,                           
CrNbTiZr                                                                                                                ,            74,                                                                                                                             ,                                 6.64,                              , C            , 1260                          ,                                    , 6                                  ,                           
CrNbTiVZr                                                                                                               ,            74,                                                                                                                             ,                                 6.56,                              , C            , 1289                          ,                                    , 3                                  ,                           
AlMo0.5NbTa0.5TiZr                                                                                                      ,            74,                                                                                                                             ,                                 7.3 ,                              , C            , 2000                          ,                                    , 9                                  ,                           
AlNb1.5Ta0.5Ti1.5Zr0.5                                                                                                  ,            74,                                                                                                                             ,                                 6.8 ,                              , C            , 1280                          ,                                    , 2.5                                ,                           
Al0.4Hf0.6NbTaTiZr                                                                                                      ,            74,                                                                                                                             ,                                 9.0 ,                              , C            , 1841                          ,                                    , 9                                  ,                           
Al0.3NbTaTi1.4Zr1.3                                                                                                     ,            74,                                                                                                                             ,                                 8.1 ,                              , C            , 1965                          ,                                    , 4                                  ,                           
Al0.3NbTa0.8Ti1.4V0.2Zr1.3                                                                                              ,            74,                                                                                                                             ,                                 7.6 ,                              , C            , 1965                          ,                                    , 4                                  ,                           
Al0.5NbTa0.8Ti1.5V0.2Zr                                                                                                 ,            74,                                                                                                                             ,                                 7.3 ,                              , C            , 2035                          ,                                    , 3.5                                ,                           
TiZrNbMo                                                                                                                ,            75, bcc                                                                                                                         ,                                     ,                              , C            , 1573                          , 3326                               , 32.9                               ,                           
TiZrNbMoV0.25                                                                                                           ,            75, bcc                                                                                                                         ,                                     ,                              , C            , 1752                          , 3700                               , 29.6                               ,                           
TiZrNbMoV0.5                                                                                                            ,            75, bcc                                                                                                                         ,                                     ,                              , C            , 1638                          , 3156                               , 27.7                               ,                           
TiZrNbMoV0.75                                                                                                           ,            75, bcc                                                                                                                         ,                                     ,                              , C            , 1687                          , 3740                               , 28.9                               ,                           
TiZrNbMoV                                                                                                               ,            75, bcc                                                                                                                         ,                                     ,                              , C            , 1760                          , 3651                               , 25.6                               ,                           
TiZrNbMoV1.5                                                                                                            ,            75, bcc + Zr-rich bcc                                                                                                           ,                                     ,                              , C            , 1711                          , 3156                               , 20.0                               ,                           
TiZrNbMoV2                                                                                                              ,            75, bcc + Zr-rich bcc                                                                                                           ,                                     ,                              , C            , 1525                          , 3042                               , 23.0                               ,                           
TiZrNbMoV3                                                                                                              ,            75, bcc + Zr-rich bcc                                                                                                           ,                                     ,                              , C            , 1419                          , 2426                               , 23.5                               ,                           
AlCoCrFeNi                                                                                                              ,            75, single-phase bcc solid solution                                                                                             ,                                     ,                              , C            , 1450                          , 2960                               , 15.3                               ,                           
AlCoCrFeNi                                                                                                              ,            75, single-phase bcc solid solution                                                                                             ,                                     ,                              , C            , 1880                          , 3550                               , 14.3                               ,                           
AlCoCrFeNi                                                                                                              ,            75, bcc                                                                                                                         ,                                     ,                              , C            ,                               ,                                    , 30.0                               ,                           
Nb0.280Ta0.276Ti0.227V0.217                                                                                             ,            76, Single-phase BCC solid solution                                                                                             ,                                     ,                       3113   ,              ,                               ,                                    ,                                    ,                           
Nb0.280Ta0.276Ti0.227V0.217                                                                                             ,            76, Single-phase BCC solid solution                                                                                             ,                                     ,                              , C            , 965                           ,                                    ,                                    ,                           
Nb0.285Ta0.297V0.207W0.212                                                                                              ,            76, Single-phase BCC solid solution                                                                                             ,                                     ,                       4830   ,              ,                               ,                                    ,                                    ,                           
