Composition (atomic)                                                                                      , Type of phases                                                                      , ρ represents the density (in g/cm^3), HV is the hardness in Vickers, "Type of tests, C and T stands for compression and tension"    , σY is the Yield strength (MPa), σmax is the ultimate strength (MPa), ε is the elongation (in percentage), E is the Young's modulus (GPa)
V20Nb20Mo20Ta20W20                                                                                        , single-phase BCC (disordered)                                                       ,                                     ,                          5.42, C                                                              ,                        1246   ,                             1270   ,                                0.5 ,                        180
V20Nb20Mo20Ta20W20                                                                                        , single-phase BCC (disordered)                                                       ,                                     ,                          5.42, C                                                              ,                         862   ,                             1597   ,                               13   ,                           
V20Nb20Mo20Ta20W20                                                                                        , single-phase BCC (disordered)                                                       ,                                     ,                          5.42, C                                                              ,                         846   ,                             1536   ,                               16   ,                           
V20Nb20Mo20Ta20W20                                                                                        , single-phase BCC (disordered)                                                       ,                                     ,                          5.42, C                                                              ,                         842   ,                             1454   ,                               14   ,                           
V20Nb20Mo20Ta20W20                                                                                        , single-phase BCC (disordered)                                                       ,                                     ,                          5.42, C                                                              ,                         735   ,                              943   ,                                4.2 ,                           
V20Nb20Mo20Ta20W20                                                                                        , single-phase BCC (disordered)                                                       ,                                     ,                          5.42, C                                                              ,                         656   ,                              707   ,                                1.6 ,                           
V20Nb20Mo20Ta20W20                                                                                        , single-phase BCC (disordered)                                                       ,                                     ,                          5.42, C                                                              ,                         477   ,                              479   ,                                0.95,                           
TiZrNbV                                                                                                   , bcc                                                                                 ,                                 6.46,                              , C                                                              ,                        1104   ,                                    ,                               50   ,                           
TiZrNbVMo0.3                                                                                              , bcc                                                                                 ,                                 6.69,                              , C                                                              ,                        1289   ,                                    ,                               42   ,                           
TiZrNbVMo0.5                                                                                              , bcc                                                                                 ,                                 6.83,                              , C                                                              ,                        1473   ,                                    ,                               32   ,                           
TiZrNbVMo0.7                                                                                              , bcc                                                                                 ,                                 6.96,                              , C                                                              ,                        1706   ,                                    ,                               32   ,                           
TiZrNbVMo1.0                                                                                              , bcc                                                                                 ,                                 7.13,                              , C                                                              ,                        1779   ,                                    ,                               32   ,                           
TiZrNbVMo1.3                                                                                              , bcc + bcc                                                                           ,                                 7.29,                              , C                                                              ,                        1496   ,                                    ,                               30   ,                           
TiZrNbVMo1.5                                                                                              , bcc + bcc                                                                           ,                                 7.38,                              , C                                                              ,                        1603   ,                                    ,                               20   ,                           
TiZrNbVMo1.7                                                                                              , bcc + bcc                                                                           ,                                 7.48,                              , C                                                              ,                        1645   ,                                    ,                               15   ,                           
TiZrNbVMo2.0                                                                                              , bcc + bcc                                                                           ,                                 7.6 ,                              , C                                                              ,                        1765   ,                                    ,                               12   ,                           
TiZrNbV0.3                                                                                                , bcc                                                                                 ,                                 6.51,                              , C                                                              ,                         866   ,                                    ,                               45   ,                           
TiZrNbV0.3Mo0.1                                                                                           , bcc                                                                                 ,                                 6.6 ,                              , C                                                              ,                         932   ,                                    ,                               45   ,                           
TiZrNbV0.3Mo0.3                                                                                           , bcc                                                                                 ,                                 6.77,                              , C                                                              ,                        1312   ,                                    ,                               50   ,                           
TiZrNbV0.3Mo0.5                                                                                           , bcc                                                                                 ,                                 6.93,                              , C                                                              ,                        1301   ,                                    ,                               43   ,                           
TiZrNbV0.3Mo0.7                                                                                           , bcc                                                                                 ,                                 7.07,                              , C                                                              ,                        1436   ,                                    ,                               26.6 ,                           
TiZrNbV0.3Mo1.0                                                                                           , bcc                                                                                 ,                                 7.26,                              , C                                                              ,                        1455   ,                                    ,                               25   ,                           
TiZrNbV0.3Mo1.3                                                                                           , bcc                                                                                 ,                                 7.43,                              , C                                                              ,                        1603   ,                                    ,                               20   ,                           
TiZrNbV0.3Mo1.5                                                                                           , bcc                                                                                 ,                                 7.53,                              , C                                                              ,                        1576   ,                                    ,                                8   ,                           
AlCoCrFeNiTi0.5                                                                                           ,                                                                                     ,                                 6.44,                              , C                                                              ,                        2260   ,                                    ,                               23.3 ,                           
AlCrFeCoNi                                                                                                ,                                                                                     ,                                 6.72,                              , C                                                              ,                        1251   ,                                    ,                               32.7 ,                           
CrFeCoNiCuTi0.8                                                                                           ,                                                                                     ,                                 7.58,                              , C                                                              ,                        1042   ,                                    ,                                2.1 ,                           
CrFeCoNiCuTi0.5                                                                                           ,                                                                                     ,                                 7.82,                              , C                                                              ,                         700   ,                                    ,                               21.6 ,                           
CrFeCoNiCu                                                                                                ,                                                                                     ,                                 8.33,                              , C                                                              ,                         230   ,                                    ,                               50   ,                           
AlCrFeCoNiCu                                                                                              ,                                                                                     ,                                 7.07,                              , C                                                              ,                        1303   ,                                    ,                               18   ,                           
AlCrFeCoNiCuV                                                                                             ,                                                                                     ,                                 6.92,                              , C                                                              ,                        1469   ,                                    ,                                6   ,                           
Cu0.25AlCoCrFeNiTi0.5                                                                                     ,                                                                                     ,                                 6.54,                              , C                                                              ,                        1994   ,                                    ,                                9.1 ,                           
AlCoCrFeNiMo0.1                                                                                           ,                                                                                     ,                                 6.45,                              , C                                                              ,                        1804   ,                                    ,                                7.5 ,                           
AlCoCrFeNiSi0.2                                                                                           ,                                                                                     ,                                 6.92,                              , C                                                              ,                        1265   ,                                    ,                               13.8 ,                           
AlCoCrFeNiSi0.4                                                                                           ,                                                                                     ,                                 6.22,                              , C                                                              ,                        1481   ,                                    ,                               13.4 ,                           
TaNbHfZrTi                                                                                                ,                                                                                     ,                                 9.9 ,                              , C                                                              ,                         929   ,                                    ,                               50   ,                           
NbMoTaW                                                                                                   ,                                                                                     ,                                13.64,                              , C                                                              ,                        1058   ,                                    ,                                2.6 ,                           
VNbMoTaW                                                                                                  ,                                                                                     ,                                12.36,                              , C                                                              ,                        1246   ,                                    ,                                1.7 ,                           
NbCrMo0.5Ta0.5TiZr                                                                                        ,                                                                                     ,                                 8   ,                              , C                                                              ,                        1595   ,                                    ,                                5   ,                           
CrNbTiZr                                                                                                  ,                                                                                     ,                                 6.64,                              , C                                                              ,                        1260   ,                                    ,                                6   ,                           
CrNbTiVZr                                                                                                 ,                                                                                     ,                                 6.56,                              , C                                                              ,                        1289   ,                                    ,                                3   ,                           
AlMo0.5NbTa0.5TiZr                                                                                        ,                                                                                     ,                                 7.3 ,                              , C                                                              ,                        2000   ,                                    ,                                9   ,                           
AlNb1.5Ta0.5Ti1.5Zr0.5                                                                                    ,                                                                                     ,                                 6.8 ,                              , C                                                              ,                        1280   ,                                    ,                                2.5 ,                           
Al0.4Hf0.6NbTaTiZr                                                                                        ,                                                                                     ,                                 9   ,                              , C                                                              ,                        1841   ,                                    ,                                9   ,                           
Al0.3NbTaTi1.4Zr1.3                                                                                       ,                                                                                     ,                                 8.1 ,                              , C                                                              ,                        1965   ,                                    ,                                4   ,                           
Al0.3NbTa0.8Ti1.4V0.2Zr1.3                                                                                ,                                                                                     ,                                 7.6 ,                              , C                                                              ,                        1965   ,                                    ,                                4   ,                           
Al0.5NbTa0.8Ti1.5V0.2Zr                                                                                   ,                                                                                     ,                                 7.3 ,                              , C                                                              ,                        2035   ,                                    ,                                3.5 ,                           
AlCoCrFeNi                                                                                                , bcc (single solid-solution)                                                         ,                                     ,                              , C                                                              ,                        1450   ,                             2960   ,                               15.3 ,                           
AlCoCrFeNi                                                                                                , bcc (single solid-solution)                                                         ,                                     ,                              , C                                                              ,                        1880   ,                             3550   ,                               14.3 ,                           
CoCrFeNiAl                                                                                                , bcc                                                                                 ,                                     ,                              , C                                                              ,                               ,                                    ,                               30   ,                           
NbTaTiV                                                                                                   , single-phase BCC solid solution                                                     ,                                     ,                              , C                                                              ,                         965   ,                                    ,                                    ,                           
NbTaVW                                                                                                    , single-phase BCC solid solution                                                     ,                                     ,                              , C                                                              ,                        1530   ,                                    ,                               12   ,                           
NbTaTiVW                                                                                                  , single-phase BCC solid solution                                                     ,                                     ,                              , C                                                              ,                        1420   ,                                    ,                               20   ,                           
NbTaTiV                                                                                                   , single-phase BCC solid solution                                                     ,                                     ,                       3113   ,                                                                ,                               ,                                    ,                                    ,                           
NbTaVW                                                                                                    , single-phase BCC solid solution                                                     ,                                     ,                       4830   ,                                                                ,                               ,                                    ,                                    ,                           
NbTaTiVW                                                                                                  , single-phase BCC solid solution                                                     ,                                     ,                       4380   ,                                                                ,                               ,                                    ,                                    ,                           
CoFeNiV                                                                                                   , FCC                                                                                 ,                                     ,                        238.07,                                                                ,                               ,                                    ,                                    ,                           
CoFeNiVMo0.2                                                                                              , FCC + CoMo2Ni-type intermetallic                                                    ,                                     ,                        267.28,                                                                ,                               ,                                    ,                                    ,                           
CoFeNiVMo0.4                                                                                              , FCC + CoMo2Ni-type intermetallic                                                    ,                                     ,                        402.45,                                                                ,                               ,                                    ,                                    ,                           
CoFeNiVMo0.6                                                                                              , FCC + CoMo2Ni-type intermetallic                                                    ,                                     ,                        556.68,                                                                ,                               ,                                    ,                                    ,                           
CoFeNiVMo0.8                                                                                              , FCC + CoMo2Ni-type intermetallic                                                    ,                                     ,                        605.63,                                                                ,                               ,                                    ,                                    ,                           
CoFeNiVMo                                                                                                 , FCC + intermetallic (CoMo2Ni-type and/or Co2Mo3-type reported)                      ,                                     ,                        624.6 ,                                                                ,                               ,                                    ,                                    ,                           
CoFeNi1.2VMo                                                                                              , FCC + Co2Mo3-type intermetallic                                                     ,                                     ,                        602.0 ,                                                                ,                               ,                                    ,                                    ,                           
CoFeNi1.4VMo                                                                                              , FCC + Co2Mo3-type intermetallic                                                     ,                                     ,                        537.53,                                                                ,                               ,                                    ,                                    ,                           
CoFeNi1.6VMo                                                                                              , FCC + Co2Mo3-type intermetallic                                                     ,                                     ,                        520.4 ,                                                                ,                               ,                                    ,                                    ,                           
CoFeNi1.8VMo                                                                                              , FCC + Co2Mo3-type intermetallic                                                     ,                                     ,                        510.3 ,                                                                ,                               ,                                    ,                                    ,                           
CoFeNi2VMo                                                                                                , FCC + Co2Mo3-type intermetallic                                                     ,                                     ,                        382.27,                                                                ,                               ,                                    ,                                    ,                           
CoFeNiV                                                                                                   , FCC                                                                                 ,                                     ,                              , C                                                              ,                         428.3 ,                                    ,                                    ,                           
CoFeNiVMo0.2                                                                                              , FCC + CoMo2Ni-type intermetallic                                                    ,                                     ,                              , C                                                              ,                         686.9 ,                                    ,                                    ,                           
CoFeNiVMo0.4                                                                                              , FCC + CoMo2Ni-type intermetallic                                                    ,                                     ,                              , C                                                              ,                               ,                                    ,                               19.7 ,                           
CoFeNiVMo0.8                                                                                              , FCC + CoMo2Ni-type intermetallic                                                    ,                                     ,                              , C                                                              ,                               ,                             2163.8 ,                                    ,                           
CoFeNi2VMo                                                                                                , FCC + Co2Mo3-type intermetallic                                                     ,                                     ,                              , C                                                              ,                         679.1 ,                             1152.6 ,                               24.7 ,                           
Fe-bal C3.62Si2.51Mn0.84S0.025P0.061RE0.045                                                               , "M + G + Ar, Ar < 5%; hardness reported as 54.8 HRC"                                ,                                     ,                              , E-C                                                            ,                               ,                                    ,                                    ,                           
Fe-bal C3.62Si2.51Mn0.85Cr0.40S0.020P0.063RE0.053                                                         , M + G + 5-10%K; hardness reported as 59.2 HRC                                       ,                                     ,                              , E-C                                                            ,                               ,                                    ,                                    ,                           
Fe-bal C3.62Si2.51Mn0.86Cu0.50S0.023P0.060RE0.057                                                         , "M + G + Ar, Ar < 5%; hardness reported as 55.8 HRC"                                ,                                     ,                              , E-C                                                            ,                               ,                                    ,                                    ,                           
Fe-bal C3.62Si2.51Mn0.83Ni0.50S0.025P0.059RE0.049                                                         , "M + G + Ar, Ar < 5%; hardness reported as 51.8 HRC"                                ,                                     ,                              , E-C                                                            ,                               ,                                    ,                                    ,                           
Fe-bal C3.62Si2.51Mn0.85Cr0.40Ni0.50S0.020P0.057RE0.053                                                   , "M + G + Ar, Ar < 5%; hardness reported as 56.3 HRC"                                ,                                     ,                              , E-C                                                            ,                               ,                                    ,                                    ,                           
Fe-bal C3.62Si2.51Mn0.87Cr0.40Cu0.50S0.020P0.062RE0.048                                                   , "M + G + Ar, Ar < 5%; hardness reported as 58.3 HRC"                                ,                                     ,                              , E-C                                                            ,                               ,                                    ,                                    ,                           
Fe-bal C3.62Si3.05Mn0.84S0.024P0.063RE0.047                                                               , "M + G + Ar, Ar < 5%; hardness reported as 54.8 HRC"                                ,                                     ,                              , E-C                                                            ,                               ,                                    ,                                    ,                           
Fe-bal C3.62Si3.52Mn0.85S0.021P0.060RE0.049                                                               , "M + G + Ar, Ar < 5%; hardness reported as 54.6 HRC"                                ,                                     ,                              , E-C                                                            ,                               ,                                    ,                                    ,                           
Cu0.3167Mn0.3167Ni0.3167Al0.05                                                                            , HT: A1(80) + B1(20); ductility reported as >45%                                     ,                                     ,                        174   , C                                                              ,                         330   ,                                    ,                                    ,                           
Cu0.30Mn0.30Ni0.30Al0.10                                                                                  , HT: A1(43) + B1(57)                                                                 ,                                     ,                        220   , C                                                              ,                         515   ,                                    ,                               40   ,                           
Cu0.2667Mn0.2667Ni0.2667Al0.20                                                                            , HT: B1(20) + H-L21(80)                                                              ,                                     ,                        355   , C                                                              ,                               ,                                    ,                                    ,                           
Cu0.25Mn0.25Ni0.25Al0.25                                                                                  , HT: H-L21(100)                                                                      ,                                     ,                        373   , C                                                              ,                               ,                                    ,                                    ,                           
Cu0.2333Mn0.2333Ni0.2333Al0.30                                                                            , HT: H-L21 + B2                                                                      ,                                     ,                        359   , C                                                              ,                               ,                                    ,                                    ,                           
Cu0.20Mn0.20Ni0.20Al0.40                                                                                  , HT: H-L21 + B2                                                                      ,                                     ,                        398   , C                                                              ,                               ,                                    ,                                    ,                           
Cu0.3167Mn0.3167Ni0.3167Sn0.05                                                                            , HT: A1(83) + H-L21(17); ductility reported as >63%                                  ,                                     ,                        178   , C                                                              ,                         380   ,                                    ,                                    ,                           
Cu0.30Mn0.30Ni0.30Sn0.10                                                                                  , HT: A1(50) + H-L21(50)                                                              ,                                     ,                        255   , C                                                              ,                         620   ,                                    ,                               20   ,                           
Cu0.2667Mn0.2667Ni0.2667Sn0.20                                                                            , HT: A1(8) + H-L21(92)                                                               ,                                     ,                        533   , C                                                              ,                               ,                                    ,                                    ,                           
Cu0.25Mn0.25Ni0.25Sn0.25                                                                                  , HT: H-L21(>99)                                                                      ,                                     ,                        507   , C                                                              ,                               ,                                    ,                                    ,                           
Cu0.2667Mn0.2667Ni0.2667Zn0.20                                                                            , HT: A1(100); ductility reported as >65%                                             ,                                     ,                        113   , C                                                              ,                         140   ,                                    ,                                    ,                           
Cu0.25Mn0.25Ni0.25Zn0.25                                                                                  , HT: A1(100); ductility reported as >60%                                             ,                                     ,                        128   , C                                                              ,                         215   ,                                    ,                                    ,                           
Cu0.2167Mn0.2167Ni0.2167Zn0.35                                                                            , HT: A1(>95) + B2(<5)                                                                ,                                     ,                        242   , C                                                              ,                               ,                                    ,                                    ,                           
Cu0.20Mn0.20Ni0.20Zn0.40                                                                                  , HT: A1(85) + B2(15)                                                                 ,                                     ,                        253   , C                                                              ,                               ,                                    ,                                    ,                           
Cu0.30Mn0.30Ni0.30Al0.05Sn0.05                                                                            , HT: A1(40) + H-L21(60)                                                              ,                                     ,                        303   , C                                                              ,                               ,                                    ,                                    ,                           
Cu0.25Mn0.25Ni0.25Al0.05Zn0.20                                                                            , HT: A1 + H-L21                                                                      ,                                     ,                        271   , C                                                              ,                               ,                                    ,                                    ,                           
Cu0.20Mn0.20Ni0.20Al0.05Zn0.35                                                                            , HT: B1(14) + B2(86)                                                                 ,                                     ,                        281   , C                                                              ,                               ,                                    ,                                    ,                           
Cu0.2667Mn0.2667Ni0.2667Al0.10Zn0.10                                                                      , HT: A1(25) + H-L21(75)                                                              ,                                     ,                        321   , C                                                              ,                               ,                                    ,                                    ,                           
